epoch,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
0,49,,30.08681869506836,,,,,
0,99,,24.961515426635742,,,,,
0,99,,,32.675872802734375,0.019430719316005707,39.989952087402344,0.01951867900788784,21.625293731689453
0,99,42.02934265136719,,,,,,
1,149,,29.146814346313477,,,,,
1,199,,26.869394302368164,,,,,
1,199,,,31.703170776367188,0.019508028402924538,39.5258903503418,0.019417110830545425,21.167776107788086
1,199,25.098798751831055,,,,,,
2,249,,25.66611099243164,,,,,
2,299,,22.2010555267334,,,,,
2,299,,,31.97804069519043,0.019781922921538353,39.6601676940918,0.019618043676018715,20.493915557861328
2,299,24.3935604095459,,,,,,
3,349,,21.979907989501953,,,,,
3,399,,23.252870559692383,,,,,
3,399,,,30.682676315307617,0.01895901933312416,37.969600677490234,0.018848512321710587,20.573205947875977
3,399,23.839879989624023,,,,,,
4,449,,23.200138092041016,,,,,
4,499,,22.51752281188965,,,,,
4,499,,,30.662565231323242,0.019036630168557167,38.91755294799805,0.01891259290277958,20.620332717895508
4,499,23.483909606933594,,,,,,
5,549,,22.471860885620117,,,,,
5,599,,23.27187728881836,,,,,
5,599,,,30.770435333251953,0.01939302310347557,39.62299346923828,0.019246291369199753,20.78106689453125
5,599,23.956863403320312,,,,,,
